TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,ReturnAmount,CompletedSurvey
551,1/6/2024,1009,105,403,0,19.78,0,No
552,1/16/2024,1004,107,404,0,335.1,15,No
553,1/16/2024,1006,102,406,0,195.5,0,No
554,1/25/2024,1005,102,405,0,117.3,0,No
556,1/29/2024,1009,104,403,0,172.4,0,No
557,1/29/2024,1010,101,402,0,3172.48,0,No
558,2/6/2024,1002,102,402,0,312.8,0,No
559,2/6/2024,1001,106,401,0,622.86,0,No
561,2/6/2024,1005,107,405,0,469.14,0,Yes
562,2/8/2024,1003,108,403,0,12.56,0,Yes
563,2/8/2024,1006,107,406,0,67.02,0,Yes
564,2/9/2024,1009,107,403,0,469.14,0,No
565,2/9/2024,1002,105,402,0,138.46,0,No
566,2/24/2024,1007,103,405,0,204.84,0,No
567,2/24/2024,1007,106,405,0,444.9,0,No
570,2/27/2024,1010,107,402,0,402.12,0,No
571,2/27/2024,1011,106,401,0,533.88,0,No
572,3/20/2024,1005,105,405,0,178.02,0,No
575,3/25/2024,1001,108,401,0,75.36,0,No
576,4/7/2024,1001,108,401,0,113.04,0,No
577,4/7/2024,1005,104,405,0,387.9,0,No
578,4/10/2024,1006,106,406,0,800.82,0,Yes
579,4/10/2024,1008,106,404,0,800.82,0,No
580,4/11/2024,1004,103,404,0,22.76,0,Yes
581,4/11/2024,1009,101,403,0,793.12,0,No
583,4/19/2024,1009,102,403,0,312.8,0,Yes
585,4/27/2024,1002,108,402,0,113.04,10.51,No
586,4/30/2024,1001,105,401,0,39.56,0,Yes
587,4/30/2024,1007,102,405,0,78.2,0,Yes
588,5/2/2024,1002,102,402,0,117.3,0,Yes
589,5/2/2024,1007,102,405,0,117.3,15.41,No
592,5/17/2024,1006,107,406,1,670.2,0,No
593,5/17/2024,1008,104,404,1,431,0,No
595,5/19/2024,1006,108,406,1,25.12,0,No
596,5/29/2024,1011,105,401,0,98.9,0,No
597,5/29/2024,1008,102,404,0,195.5,10.41,No
598,6/6/2024,1001,104,401,0,387.9,0,No
599,6/6/2024,1004,102,404,0,351.9,29.76,No
600,6/12/2024,1010,103,402,0,182.08,0,No
601,6/12/2024,1005,106,405,0,711.84,0,No
605,6/20/2024,1002,108,402,0,12.56,0,No
606,7/2/2024,1005,105,405,0,79.12,0,No
607,7/2/2024,1011,108,401,0,50.24,0,No
608,7/4/2024,1003,102,403,0,39.1,0,No
610,7/4/2024,1010,106,402,0,88.98,0,No
611,7/4/2024,1006,102,406,0,195.5,0,No
615,7/15/2024,1010,104,402,2,387.9,0,No
618,7/21/2024,1001,104,401,2,172.4,0,No
619,7/21/2024,1008,105,404,2,79.12,0,Yes
620,7/25/2024,1007,108,405,0,125.6,0,No
622,8/1/2024,1003,108,403,0,100.48,0,No
623,8/1/2024,1002,107,402,0,536.16,0,Yes
624,8/2/2024,1011,108,401,0,125.6,0,No
625,8/2/2024,1002,108,402,0,125.6,0,No
626,8/5/2024,1003,108,403,0,37.68,0,No
627,8/5/2024,1006,104,406,0,129.3,0,No
628,8/14/2024,1011,107,401,0,201.06,94.61,No
630,8/21/2024,1007,104,405,0,172.4,0,Yes
632,8/25/2024,1006,108,406,0,75.36,0,No
633,8/25/2024,1002,104,402,0,258.6,0,Yes
634,8/28/2024,1006,105,406,0,39.56,0,No
635,8/28/2024,1005,106,405,0,177.96,10.51,No
639,9/22/2024,1007,104,405,3,689.6,0,No
640,9/30/2024,1005,107,405,3,268.08,135.24,No
641,9/30/2024,1010,103,402,3,45.52,0,No
643,10/10/2024,1010,104,402,0,301.7,0,No
